id|name|sku|price|stock|color|model|screen_size
062|Redmi Note 14 Pro|XIA-RN14P-BLK-128|8990|35|ดำ|Redmi Note 14 Pro|6.67
063|Redmi Note 14 Pro|XIA-RN14P-GRN-128|8990|28|เขียว|Redmi Note 14 Pro|6.67
064|Redmi Note 14|XIA-RN14-BLK-128|6490|45|ดำ|Redmi Note 14|6.67
065|Redmi Note 14|XIA-RN14-BLU-128|6490|38|น้ำเงิน|Redmi Note 14|6.67
066|vivo X200 Pro|VIV-X200P-BLK-256|34990|10|ดำ|X200 Pro|6.78
067|vivo X200 Pro|VIV-X200P-BLU-256|34990|7|น้ำเงิน|X200 Pro|6.78
068|vivo X200|VIV-X200-BLK-256|24990|15|ดำ|X200|6.67
069|vivo X200|VIV-X200-GRN-256|24990|11|เขียว|X200|6.67
070|vivo V40|VIV-V40-PRP-256|14990|20|ม่วง|V40|6.78
071|vivo V40|VIV-V40-SLV-256|14990|16|เงิน|V40|6.78
072|vivo V40 Lite|VIV-V40L-BLK-128|9990|30|ดำ|V40 Lite|6.67
073|vivo V40 Lite|VIV-V40L-GLD-128|9990|22|ทอง|V40 Lite|6.67
074|vivo Y28s|VIV-Y28S-BLK-128|5990|40|ดำ|Y28s|6.56
075|vivo Y28s|VIV-Y28S-GRN-128|5990|35|เขียว|Y28s|6.56
076|Google Pixel 9 Pro XL|PIX-9PXL-BLK-256|44900|6|ออบซิเดียน|Pixel 9 Pro XL|6.8
077|Google Pixel 9 Pro XL|PIX-9PXL-PRC-256|44900|4|พอร์เซเลน|Pixel 9 Pro XL|6.8
078|Google Pixel 9 Pro|PIX-9P-BLK-128|37900|8|ออบซิเดียน|Pixel 9 Pro|6.3
079|Google Pixel 9 Pro|PIX-9P-RSE-128|37900|5|โรสควอตซ์|Pixel 9 Pro|6.3
080|Google Pixel 9|PIX-9-BLK-128|27900|12|ออบซิเดียน|Pixel 9|6.3
081|Google Pixel 9|PIX-9-MNT-128|27900|9|มินท์|Pixel 9|6.3
082|Google Pixel 9a|PIX-9A-BLK-128|17900|20|ดำ|Pixel 9a|6.3
083|Google Pixel 9a|PIX-9A-GRN-128|17900|15|เขียว|Pixel 9a|6.3
084|Nothing Phone (2a) Plus|NTH-2AP-GRY-256|14990|12|เทา|Phone (2a) Plus|6.7
085|Nothing Phone (2a) Plus|NTH-2AP-BLK-256|14990|8|ดำ|Phone (2a) Plus|6.7
086|Nothing Phone (2a)|NTH-2A-BLK-128|10990|18|ดำ|Phone (2a)|6.7
087|Nothing Phone (2a)|NTH-2A-WHT-128|10990|14|ขาว|Phone (2a)|6.7
088|Huawei Pura 70 Ultra|HUA-P70U-BLK-512|42900|4|ดำ|Pura 70 Ultra|6.8
089|Huawei Pura 70 Ultra|HUA-P70U-GRN-512|42900|3|เขียว|Pura 70 Ultra|6.8
090|Huawei Pura 70 Pro|HUA-P70P-BLK-256|34900|7|ดำ|Pura 70 Pro|6.8
091|Huawei Pura 70 Pro|HUA-P70P-GLD-256|34900|5|ทอง|Pura 70 Pro|6.8
092|HONOR Magic7 Pro|HON-M7P-BLK-256|27990|10|ดำ|Magic7 Pro|6.8
093|HONOR Magic7 Pro|HON-M7P-GRN-256|27990|8|เขียว|Magic7 Pro|6.8
094|HONOR 200 Pro|HON-200P-BLK-256|17990|16|ดำ|HONOR 200 Pro|6.78
095|HONOR 200 Pro|HON-200P-BLU-256|17990|12|น้ำเงิน|HONOR 200 Pro|6.78
096|realme GT 7 Pro|RLM-GT7P-BLK-256|21990|14|ดำ|GT 7 Pro|6.78
097|realme GT 7 Pro|RLM-GT7P-GRN-256|21990|10|เขียว|GT 7 Pro|6.78
098|realme 13 Pro+|RLM-13PP-PRP-256|13990|20|ม่วง|realme 13 Pro+|6.7
099|realme 13 Pro+|RLM-13PP-GLD-256|13990|15|ทอง|realme 13 Pro+|6.7
100|realme 13 Pro|RLM-13P-BLU-128|11990|25|น้ำเงิน|realme 13 Pro|6.7
